brand,date,spend,transactions,avg_ticket_size,spend_ly,spend_yoy_pct
BURGER KING,2018-06-03,1464929.0,135589.28,10.804165344044899,,
BURGER KING,2018-06-04,1396848.9,153433.01,9.103965958824634,,
BURGER KING,2018-06-05,1419786.02,157189.07,9.03234569680958,,
BURGER KING,2018-06-06,1491831.58,163835.5,9.105667453024529,,
BURGER KING,2018-06-07,1587673.82,170866.42,9.29190077254501,,
BURGER KING,2018-06-08,1807204.5,186612.04,9.684286715905362,,
BURGER KING,2018-06-09,1605055.54,152125.78,10.550845096735083,,
BURGER KING,2018-06-10,1453470.88,134792.03,10.783062470384932,,
BURGER KING,2018-06-11,1384210.73,149997.81,9.228206265144804,,
BURGER KING,2018-06-12,1421143.25,154910.47,9.173965129664897,,
BURGER KING,2018-06-13,1491989.06,162304.65,9.192521964096532,,
BURGER KING,2018-06-14,1622007.65,172649.17,9.394818695044986,,
BURGER KING,2018-06-15,1831627.4,184967.13,9.902448072800826,,
BURGER KING,2018-06-16,1625638.72,152770.22,10.641070753187368,,
BURGER KING,2018-06-17,1257435.91,116352.44,10.807129700073329,,
BURGER KING,2018-06-18,1358646.28,145910.03,9.311534512055134,,
BURGER KING,2018-06-19,1388783.27,150983.71,9.198232511308671,,
BURGER KING,2018-06-20,1492542.08,159728.27,9.344257469263269,,
BURGER KING,2018-06-21,1552205.35,164062.95,9.46103523068432,,
BURGER KING,2018-06-22,1789091.22,181875.65,9.836892514198574,,
BURGER KING,2018-06-23,1578582.95,147867.47,10.675660779209924,,
BURGER KING,2018-06-24,1443408.52,131166.27,11.004418437758428,,
BURGER KING,2018-06-25,1375826.81,146591.84,9.385425614413464,,
BURGER KING,2018-06-26,1432329.0,153585.19,9.325957795800493,,
BURGER KING,2018-06-27,1514553.65,162252.42,9.334551990041195,,
BURGER KING,2018-06-28,1667989.44,174239.44,9.572972915890913,,
BURGER KING,2018-06-29,1931485.55,192829.23,10.016559989375054,,
BURGER KING,2018-06-30,1670814.35,154757.51,10.796337767388478,,
BURGER KING,2018-07-01,1530001.45,137111.68,11.15879733951185,,
BURGER KING,2018-07-02,1467978.83,153368.2,9.571598479997808,,
BURGER KING,2018-07-03,1591038.43,163359.04,9.73951873125601,,
BURGER KING,2018-07-04,1237332.1,114488.41,10.80748784964347,,
BURGER KING,2018-07-05,1431417.45,148385.11,9.646638062269187,,
BURGER KING,2018-07-06,1694358.58,169658.43,9.98688117059671,,
BURGER KING,2018-07-07,1530436.01,142612.66,10.731417603458207,,
BURGER KING,2018-07-08,1466718.46,132867.53,11.038953309360082,,
BURGER KING,2018-07-09,1385781.56,148377.88,9.339542794384176,,
BURGER KING,2018-07-10,1406298.13,150648.82,9.334942882393635,,
BURGER KING,2018-07-11,1485422.11,158769.79,9.355823359091172,,
BURGER KING,2018-07-12,1613157.32,169832.58,9.498515067014823,,
BURGER KING,2018-07-13,1837496.0,185610.82,9.899724595796732,,
BURGER KING,2018-07-14,1605307.5,150505.29,10.666120107804849,,
BURGER KING,2018-07-15,1433210.14,130735.05,10.962707705393465,,
BURGER KING,2018-07-16,1367861.55,147131.0,9.296895623627924,,
BURGER KING,2018-07-17,1394054.95,150581.82,9.25779054868642,,
BURGER KING,2018-07-18,1475738.38,158359.84,9.318892845559834,,
BURGER KING,2018-07-19,1573730.2,166690.87,9.441010176502168,,
BURGER KING,2018-07-20,1790299.23,180946.2,9.89409686415078,,
BURGER KING,2018-07-21,1575839.08,147185.39,10.706491180952131,,
BURGER KING,2018-07-22,1432984.41,129456.4,11.069243467298643,,
BURGER KING,2018-07-23,1355803.82,145382.44,9.325774281955923,,
BURGER KING,2018-07-24,1394143.79,150071.82,9.289843956047179,,
BURGER KING,2018-07-25,1475707.13,159086.99,9.276101898715917,,
BURGER KING,2018-07-26,1606427.08,170569.19,9.41803780624156,,
BURGER KING,2018-07-27,1767021.04,181580.29,9.731348264726309,,
BURGER KING,2018-07-28,1568748.33,148586.86,10.557786401839303,,
BURGER KING,2018-07-29,1426159.9,131766.26,10.823407297133574,,
BURGER KING,2018-07-30,1384702.87,149472.54,9.263928143590789,,
BURGER KING,2018-07-31,1467686.5,158378.79,9.266938458110458,,
BURGER KING,2018-08-01,1563439.0,167699.07,9.322884140025344,,
BURGER KING,2018-08-02,1646360.98,174519.43,9.433683000225248,,
BURGER KING,2018-08-03,1885094.38,192435.61,9.795974767871705,,
BURGER KING,2018-08-04,1658880.73,157425.36,10.53756986803143,,
BURGER KING,2018-08-05,1476424.54,136530.07,10.813914766175685,,
BURGER KING,2018-08-06,1407661.3,152904.19,9.206165638757186,,
BURGER KING,2018-08-07,1415026.43,155295.92,9.111806865241533,,
BURGER KING,2018-08-08,1490049.71,162586.86,9.16463796643837,,
BURGER KING,2018-08-09,1581480.65,169236.28,9.344808630868037,,
BURGER KING,2018-08-10,1795807.0,185286.19,9.692071492214287,,
BURGER KING,2018-08-11,1591824.12,150797.92,10.556008464838241,,
BURGER KING,2018-08-12,1416516.9,131166.19,10.799405700508643,,
